CU_ID,CU_Acro,CU_Name,Species,CU_Type_nuSEDS,CU_Verification,CU_Status_Assessed,CU_Verification_Notes,CU_Verification_Year,Site_Verification,Site_Verification_Year,Site_Verification_Notes,Site_Verification_nuSEDS_Match,LifeHistoryType_General,Location_Spawning_Type,Location_Rearing_Type,LifeHistoryType_Notes,LifeHistory_DominantAgeClass,Cyclic,AvgGen,AvgGen_Variability,AvgGen_Trends,AvgGen_Notes,Freshwater_Adaptive_Zone,Marine_Adaptive_Zone,NumFAZ,StockMgmtUnit,StockMgmtUnit_Group,StockMgmtUnit_MatchRationale,DFORegion,StatusGroup,Spn_TrendVsAbd,Spn_EstType,Spn_EstSource_General,Spn_EstSource_Specific,Spn_CalcMethod_General,Spn_CalcMethod_Specific,Spn_CalcMethod_Notes,Spn_EstUnc_Type,Spn_EstUnc_Details,Spn_Coverage_Category,Spn_Coverage_QualAbd,Site_Based,Site_Records_Source_General,Site_Records_Source_Specific,Site_Adj_General,Site_Adj_Notes,DataUpdate_ProcessType,DataUpdate_ProcessDescription,DataUpdate_DFOLead,RelBM_UsedFor,RelBM_EstimationYear,Rel_LowerBM_BasedOn,Rel_LowerBM_Version,Rel_LowerBM_VersionRationale,Rel_LowerBM_MethodNotes,Rel_UpperBM_BasedOn,Rel_UpperBM_Version,Rel_UpperBM_VersionRationale,Rel_UpperBM_MethodNotes,ActiveInterventions_Flag,ActiveInterventions_General,ActiveInterventions_Specific,ActiveInterventions_Notes,ActiveInterventions_History,ActiveInterventions_DataAdjustmentsFlag,ActiveInterventions_DataAdjustmentsType,ActiveInterventions_DataAdjustmentsNotes,DataQualkIdx,AbdMetric,AbsAbdMetric,ShortTrendMetric,LongTrendMetric,PercentileMetric,Metric_Notes,Avg_Gen_DUPLICATE,Cyclic_DUPLICATE,Cyc_Dom,Cyc_Dom_Year,TrendNumGen,TrendExtraYears,TrendLog,TrendSmooth,AvgType,AvgSmooth,AvgRecentExcl,LongTrendMinYears,RelAbd_AvgData,RelAbd_LBM,RelAbd_UBM,AbsAbd_LBM,AbsAbd_UBM,LongTrend_LBM,LongTrend_UBM,PercChange_LBM,PercChange_UBM,ProbDeclBelowLBM_LBM,ProbDeclBelowLBM_UBM,StatusProcess_AssessmentStage,StatusProcess_LatestStatusYear,StatusProcess_AssessmentContact,StatusProcess_AssessmentReferences,StatusProcess_ExpertRecommendations
CK_03,LFR-fall,Lower Fraser River_FA_0.3,Chinook,Current,Yes,Yes,TBD,TBD,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,Ocean-type Chinook,NA,FALSE,4,TBD,TBD,TBD,LFR,GStr,1,FRASER FALL RUN 41 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Total Wild Spawners,DFO Area StAD,Local implementation of SBC Ck data processing code,Sum of spawning ground estimates,Mark-recapture estimate of total CU,Spawner enumeration of Harrison River Chinook has been accomplished via mark and recapture since 1984. Pre-1984 data were generated with unreliable visual surveys (abundances estimates were unrealistically low) and have been excluded.,None,None,All,NA,TRUE,DFO,nuSEDS,None,Single survey site covering full CU. No adj needed.,NA,NA,NA,Status,NA,Spawner-Recruit,Sgen,Used default benchmark when appropriate SR model fits available.,Used Bayesian Ricker fit with data for 1984-##### brood years (no time varying productivity). Median posterior estimates of biological benchmarks used for the status assessment.,Spawner-Recruit,85pSmsy,Same as lower benchmark,Same as lower benchmark,FALSE,NA,NA,NA,NA,NA,NA,NA,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,NA,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,15318,63808,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_04,LFR-spring,Lower Fraser River_SP_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,LILL,GStr,1,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Index of Wild Spawners,DFO Area StAD,Local implementation of SBC Ck data processing code,Sum of spawning ground estimates,Expanded index of visual surveys,Visual surveys with a peak count expansion factor applied. Visual survey coverage ranged from moderate effort (1-4 surveys) to high effort (> 5 surveys) from 1975-2023.,None,None,Unknown,Unknown,TRUE,DFO,nuSEDS,Sites that don't meet site-level data standards were excluded.,Green River (46111) has only some 0 records in recent years. Are these true zeroes???,Area staff generate annual update.,Area staff collate survey data; load into nuSEDS; area lead pulls from nuSEDS and runs the local CK data processing code. Annual review of site specifications highly recommended.,Fraser Chinook Coho Analytical Lead,Reference Only,NA,Watershed Area,Sgen,Have Sgen estimates based on watershed area. Working on 20pSmax based on watershed area. Not using either version for status because apply to different spatial scale.,Update in progress to match spn series.,None?,None,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,337,1332,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_05,LFR-UPITT,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,LFR,GStr,1,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,NA,TBD,TBD,NA,NA,NA,NA,,NA,NA,NA,TBD,NA,NA,,NA,NA,NA,NA,Reference Only,NA,Watershed Area?,Sgen,Recommended by Holt et al. (2009) as the default.,ASSUME USED WATERSHED AREA (PARKEN ET AL 2006) THEN SUMMED ACROSS SITES????,Watershed Area?,85pSmsy,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,247,965,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_06,LFR-summer,Lower Fraser River_SU_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,LFR,GStr,1,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Index,TBD,NA,NA,NA,NA,None,None,NA,NA,TBD,NA,NA,,NA,NA,NA,NA,Reference Only,NA,Watershed Area?,Sgen,Recommended by Holt et al. (2009) as the default.,ASSUME USED WATERSHED AREA (PARKEN ET AL 2006) THEN SUMMED ACROSS SITES????,Watershed Area?,85pSmsy,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,316,1244,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_07,Maria,Maria Slough_SU_0.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,4,TBD,TBD,TBD,LFR,GStr,1,FRASER SUMMER RUN 41 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,NA,TBD,TBD,NA,NA,NA,NA,,NA,NA,NA,TBD,NA,NA,,NA,NA,NA,NA,Not Used,NA,Watershed Area,Sgen,Recommended by Holt et al. (2009) as the default.,Used Parken et al. (2006) method to estimate Ricker parameters from watershed area. Calculated for ??Total CU area??.,Watershed Area,85pSmsy,Used 85p of Smsy for consistency with other Chinook status assessments.,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,15,200,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_08,FRCanyon,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,FRCany,GStr,1,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Total Wild Spawners,DFO Area StAD,Local implementation of SBC Ck data processing code.,Sum of spawning ground estimates,Visual survey at single site,Middle Fraser- Fraser Canyon data were collected by visual surveys with a peak live count expansion factor applied. Visual survey coverage was moderate from 1996-2023. ANDERSON RIVER NOT INCLUDED (GET POPID),None,None,Almost all of the CU,Expert consensus that Nahatlatch accounts for almost all the spawners.,TRUE,DFO,nuSEDS,Sites that don't meet site-level data standards were excluded.,None required.,Area staff generate annual update.,Area staff collate survey data; load into nuSEDS; area lead pulls from nuSEDS and runs the local CK data processing code. Annual review of site specifications highly recommended.,Fraser Chinook Coho Analytical Lead,Status,NA,Watershed Area,Sgen,Using Sgen for now because that was used in previous assessment; but working on switch to 20pSmax.,Used Parken et al. (2006) method to estimate Ricker parameters from watershed area. Calculated for each included survey site and summed.,Watershed Area,85pSmsy,Same as lower benchmark,Same as lower benchmark,FALSE??,Release of hatchery-origin juveniles,Single year of ~1k fry released (2020),None,No historical hatchery releases.,FALSE,None,No adj necessary; because only a single year of ~1k fry released (2020),Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,224,870,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_09,Portage,Middle Fraser River-Portage_FA_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,MFR,GStr,1,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,NA,TBD,TBD,NA,NA,NA,NA,,NA,NA,NA,TBD,NA,NA,,NA,NA,NA,NA,Status,NA,Watershed Area?,Sgen,Recommended by Holt et al. (2009) as the default.,ASSUME USED WATERSHED AREA (PARKEN ET AL 2006) THEN SUMMED ACROSS SITES????,Watershed Area?,85pSmsy,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,333,1316,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_10,MFR-spring,Middle Fraser River_SP_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,MFR,GStr,1,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Index of ???mostly natural-origin??? Spawners,DFO Area StAD,Local implementation of SBC Ck data processing code.,Sum of spawning ground estimates,Combination of methods,Middle Fraser data were primarily collected by visual surveys using Area-Under-the-Curve (AUC) or applying a peak live count expansion factor. Visual survey coverage ranged from moderate to high effort from 1995-2023.Two Middle Fraser systems used a combination of high precision methods. SONAR and resistivity data were collected for Bridge River between 2014-2022. Similarly; SONAR and resistivity data were collected for Lower Chilcotin River between 2008-2023 and historical data (1975-2007) have been calibrated to the high precision counts.,None,None,Unknown,Unknown,TRUE,DFO,nuSEDS,Sites that don't meet site-level data standards and sites with high enhancement classification were excluded.,Include brief description,Area staff generate annual update.,Area staff collate survey data; load into nuSEDS; area lead pulls from nuSEDS and runs the local CK data processing code. Annual review of site specifications highly recommended.,Fraser Chinook Coho Analytical Lead,Reference Only,NA,Watershed Area,Sgen,Have Sgen estimates based on watershed area. Working on 20pSmax based on watershed area. Not using either version for status because apply to different spatial scale.,How come can't do same as CK-16; CK17?,None?,None,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,4692,19652,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_11,MFR-summer,Middle Fraser River_SU_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,MFR,GStr,1,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,NA,TBD,TBD,NA,NA,NA,NA,,NA,NA,NA,TBD,NA,NA,,NA,NA,NA,NA,Reference Only,NA,Watershed Area?,Sgen,Recommended by Holt et al. (2009) as the default.,ASSUME USED WATERSHED AREA (PARKEN ET AL 2006) THEN SUMMED ACROSS SITES????,Watershed Area?,85pSmsy,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,3491,13555,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
CK_12,UFR-spring,Upper Fraser River_SP_1.3,Chinook,Current,Yes,Yes,NA,,Yes,TBD,Originally done for unpublished Res Doc (DETAILS). Periodically updated. Latest update for FSAR process in YEAR.,Yes,CK,TBD,TBD,NA,NA,FALSE,5,TBD,TBD,TBD,UFR + MFR,GStr,2,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Chinook,Link to SMU_Group Metadata,Fraser,CK-Fraser,Same,Index of ???mostly natural-origin??? Spawners,DFO Area StAD,Local implementation of SBC Ck data processing code.,Sum of spawning ground estimates,Expanded index of visual surveys,Upper Fraser data were collected by visual surveys using AUC or applying a peak live count expansion factor. Visual survey coverage ranged from moderate to high effort from 1995-2023.,None,None,Unknown,Unknown,TRUE,DFO,nuSEDS,Sites that don't meet site-level data standards and sites with high enhancement classification were excluded.,Include brief description,Area staff generate annual update.,Area staff collate survey data; load into nuSEDS; area lead pulls from nuSEDS and runs the local CK data processing code. Annual review of site specifications highly recommended.,Fraser Chinook Coho Analytical Lead,Reference Only,NA,Watershed Area,Sgen,Have Sgen estimates based on watershed area. Working on 20pSmax based on watershed area. Not using either version for status because apply to different spatial scale.,How come can't do same as CK-16; CK17?,None?,None,Same as lower benchmark,Same as lower benchmark,,,,NA,NA,,NA,NA,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,NA,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,2862,12457,1000,10000,0.5,0.75,-25,-15,NA,NA,Complete,NA,NA,NA,NA
