Level,Topic,Variable,Description,OtherNotes
CU,CU,CU_ID,This is in nuSEDS as variable 'CU_findex'. NOTE: There a is some inconsistency across source files using dash v. underscore (e.g.  CK-12 vs. CK_12) which can mess up linkages between data files.,
CU,CU,CU_Acro,Short name for the CU used in tables and figure labels,
CU,CU,CU_Name,Full official name for the CU,
CU,CU,Species,English name of species: Chinook; Chum; Coho; Pink; Sockeye,
CU,CU,SPECIES_QUALIFIED,This is in nuSEDS: CK; CM; CO; PKE; PKO; SEL; SER,
CU,CU,CU_Type,This is in nuSEDS: Ver Req; Bin; Current. This is in nuSEDS. Possible values defined there.,
CU,CU,CU_Verification,Has the CU delineation been verified in a review with local experts? Possible values are Yes; Know; Unknown.,
CU,CU,CU_Verification_Year,Year in which CU delineation was last reviewed. If no updates or reviews since original CU list; use 2007; the year of Holtby and Ciruna Res Doc.,
CU,CU,Site_Verification,Have the component sites for the CU been verified (BY WHO?),
CU,CU,Site_Verification_Year,Year in which the list of component sites was last reviewed.,
CU,CU,LifeHistoryType_nuSEDS,"Currrently in nuSEDS through the CU ID; which has SEL for lake-type sockeye; SER for river-type sockeye; PKO for odd-year pinks; and PKE for even-year pinks. No life history information for Chinook; Coho; Chum in nuSEDS; as far as I know. OR JUST INCLUDE THIS AS THE nuSEDS VARIABLE ""SPECIES_QUALIFIED (SEE ABOVE)",
CU,CU,LifeHistoryType_Detailed,Need to find (or develop) some categories; maybe need a few for each species? Also need to find clear definitions and citations for each; because have run into some back-and-forth in previous projects (e.g.; lower Nass sea type sockeye?),
CU,CU,Cyclic,Does the CU display cyclic abundance patterns (e.g. some Fraser Sockeye CUs like Shuswap_ES) (more details about cyclic pattern under metric specifications below),
CU,CU,CU_SpatialExtentOfSpn,TBD,
CU,CU,CU_BiolComplexity,TBD,
CU,CU,AvgGen,Average generation time to use in metric calculations (i.e. for generational average calculated as geometric mean). Can be any integer; but typical values are 3 to 5 depending on species and area. Note that pink salmon are generally age 2 returns in either even or odd years; so the AvgGen used for metric calculations is axctually set to 1 (just use the annual value).,
CU,CU,AvgGen_Variability,Is the dominant age class highly stable or does change each year? Possible values are High (define); Moderate (define); Low (define); or None (define); or Unknown.,
CU,CU,AvgGen_Trends,Is there evidence of persistent change in dominant age? Possible values are Strong (define); Moderate (define); Weak(define); None (define); or Unknown.,
CU,CU,AvgGen_Notes,If age composition is variable or changing; include a brief note describing how the value for AvgGen was selected.,
CU,CU,FreshwaterAdaptiveZone,Defined by Holtby and Ciruna (2007). Currently in nuSEDS.,
CU,CU,MarineAdaptiveZone,Defined by Holtby and Ciruna (2007). Currently in nuSEDS.,
CU,CU,JointAdaptiveZone,Defined by Holtby and Ciruna (2007). Currently in nuSEDS.,
CU,CU,NumFAZ,Number of Freshwater Adaptive Zone with spawning populations from this CU. If all spawning sites in the CU are represented by  verified pop_ID in nuSEDS then this can be calculated from the nuSEDS data extract. This needs to be verified by local experts.,
